REC,EVENT,DATE,STATION,PERSON,COMMENTS
VR2W-104853,Dep,3/30/2010 9:36,1,,WS01
VR2W-104853,Ret,4/8/2010 16:50,1,,WS01
VR2W-104853,Dep,4/8/2010 17:30,1,,WS01
VR2W-104853,Ret,4/15/2010 14:52,1,,WS01
VR2W-104853,Dep,4/15/2010 15:32,1,,WS01
VR2W-104853,Ret,5/7/2010 7:20,1,,WS01
VR2W-104853,Dep,5/7/2010 8:00,1,,WS01
VR2W-104853,Ret,9/1/2010 11:13,1,,WS01
VR2W-104853,Dep,9/1/2010 11:53,1,,WS01
VR2W-104853,Ret,12/9/2010 9:00,1,,WS01
VR2W-104853,Dep,12/9/2010 9:40,1,,WS01
VR2W-104853,Ret,2/10/2011 14:41,1,,WS01
VR2W-104853,Dep,2/10/2011 15:21,1,,WS01
VR2W-104853,Ret,4/4/2011 9:27,1,,WS01
VR2W-104853,Dep,4/4/2011 10:07,1,,WS01
VR2W-104853,Ret,7/22/2011 10:42,1,,WS01
VR2W-113035,Dep,3/18/2012 11:43,1,,WS01
VR2W-113035,Ret,5/30/2012 9:34,1,,WS01
VR2W-113035,Dep,5/30/2012 10:14,1,,WS01
VR2W-113035,Ret,9/25/2012 11:23,1,,WS01
VR2W-113035,Dep,9/25/2012 12:03,1,,WS01
VR2W-113035,Ret,3/9/2013 13:36,1,,WS01
VR2W-113035,Dep,3/9/2013 14:16,1,,WS01
VR2W-113035,Ret,5/12/2013 11:49,1,,WS01
VR2W-113035,Dep,5/12/2013 12:29,1,,WS01
VR2W-113035,Ret,9/15/2013 9:06,1,,WS01
VR2W-113035,Dep,9/15/2013 9:46,1,,WS01
VR2W-113035,Ret,2/28/2014 9:13,1,,WS01
VR2W-113035,Dep,2/28/2014 9:53,1,,WS01
VR2W-113035,Ret,1/31/2015 11:43,1,,WS01
VR2W-113035,Dep,1/31/2015 12:23,1,,WS01
VR2W-104845,Dep,3/30/2010 9:43,2,,WS02
VR2W-104845,Ret,4/3/2010 16:33,2,,WS02
VR2W-104845,Dep,4/3/2010 17:13,2,,WS02
VR2W-104845,Ret,4/8/2010 15:19,2,,WS02
VR2W-104845,Dep,4/8/2010 15:59,2,,WS02
VR2W-104845,Ret,4/16/2010 12:23,2,,WS02
VR2W-104845,Dep,4/16/2010 13:03,2,,WS02
VR2W-104845,Ret,5/6/2010 13:07,2,,WS02
VR2W-104845,Dep,5/6/2010 13:47,2,,WS02
VR2W-104845,Ret,9/2/2010 7:08,2,,WS02
VR2W-104845,Dep,9/2/2010 7:48,2,,WS02
VR2W-104845,Ret,12/9/2010 9:44,2,,WS02
VR2W-104845,Dep,12/9/2010 10:24,2,,WS02
VR2W-104845,Ret,2/10/2011 14:12,2,,WS02
VR2W-104845,Dep,2/10/2011 14:52,2,,WS02
VR2W-104845,Ret,7/21/2011 7:01,2,,WS02
VR2W-104845,Dep,7/21/2011 7:41,2,,WS02
VR2W-104845,Ret,12/20/2011 10:15,2,,WS02
VR2W-114058,Dep,12/20/2011 10:55,2,,WS02
VR2W-114058,Ret,5/30/2012 9:53,2,,WS02
