Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
23/04/10 7:15,VR2W-104858,A69-9002-2116,,,4,ADC,,,
23/04/10 7:18,VR2W-104858,A69-9002-2116,,,4,ADC,,,
23/04/10 8:08,VR2W-104858,A69-9002-2116,,,4,ADC,,,
23/04/10 8:10,VR2W-104858,A69-9002-2116,,,4,ADC,,,
28/04/10 6:23,VR2W-104844,A69-9002-2116,,,4,ADC,,,
28/04/10 6:59,VR2W-104851,A69-9002-2116,,,6,ADC,,,
28/04/10 7:01,VR2W-104851,A69-9002-2116,,,8,ADC,,,
28/04/10 7:03,VR2W-104851,A69-9002-2116,,,10,ADC,,,
28/04/10 7:05,VR2W-104851,A69-9002-2116,,,11,ADC,,,
28/04/10 7:07,VR2W-104851,A69-9002-2116,,,13,ADC,,,
28/04/10 7:09,VR2W-104851,A69-9002-2116,,,7,ADC,,,
28/04/10 7:12,VR2W-104851,A69-9002-2116,,,7,ADC,,,
28/04/10 7:16,VR2W-104851,A69-9002-2116,,,10,ADC,,,
28/04/10 7:25,VR2W-104851,A69-9002-2116,,,18,ADC,,,
28/04/10 8:05,VR2W-104858,A69-9002-2116,,,9,ADC,,,
28/04/10 8:12,VR2W-104858,A69-9002-2116,,,9,ADC,,,
28/04/10 8:20,VR2W-104858,A69-9002-2116,,,12,ADC,,,
28/04/10 8:26,VR2W-104858,A69-9002-2116,,,7,ADC,,,
28/04/10 8:28,VR2W-104858,A69-9002-2116,,,8,ADC,,,
28/04/10 8:30,VR2W-104858,A69-9002-2116,,,8,ADC,,,
28/04/10 8:49,VR2W-104858,A69-9002-2116,,,8,ADC,,,
28/04/10 8:51,VR2W-104858,A69-9002-2116,,,9,ADC,,,
28/04/10 8:54,VR2W-104858,A69-9002-2116,,,9,ADC,,,
28/04/10 12:22,VR2W-104844,A69-9002-2116,,,9,ADC,,,
28/04/10 12:24,VR2W-104844,A69-9002-2116,,,10,ADC,,,
28/04/10 12:26,VR2W-104844,A69-9002-2116,,,12,ADC,,,
28/04/10 12:32,VR2W-104844,A69-9002-2116,,,15,ADC,,,
28/04/10 12:35,VR2W-104844,A69-9002-2116,,,10,ADC,,,
28/04/10 12:38,VR2W-104844,A69-9002-2116,,,6,ADC,,,
28/04/10 12:54,VR2W-104844,A69-9002-2116,,,16,ADC,,,
