SURVEY.NUMBER,DATE,START.TIME,END.TIME,SNORKELERS,DURATION.(MIN),DATE.WEEK
1,3/28/2011,7:30,17:30,4,600,3/28/2011
2,3/29/2011,7:30,17:30,4,600,3/28/2011
3,3/30/2011,7:30,17:30,4,600,3/28/2011
4,3/31/2011,7:30,17:30,4,600,3/28/2011
5,4/1/2011,7:30,10:30,4,180,3/28/2011
6,4/1/2011,15:30,17:30,4,120,3/28/2011
7,4/2/2011,7:30,10:30,4,180,3/28/2011
8,4/2/2011,15:30,17:30,4,120,3/28/2011
9,4/3/2011,7:30,10:30,4,180,3/28/2011
10,4/3/2011,15:30,17:30,4,120,3/28/2011
11,4/4/2011,7:30,10:30,4,180,4/4/2011
12,4/4/2011,15:30,17:30,4,120,4/4/2011
13,4/5/2011,7:30,10:30,4,180,4/4/2011
14,4/5/2011,15:30,17:30,4,120,4/4/2011
15,4/6/2011,7:30,10:30,4,180,4/4/2011
16,4/6/2011,15:30,17:30,4,120,4/4/2011
17,4/7/2011,7:30,10:30,4,180,4/4/2011
18,4/7/2011,15:30,17:30,4,120,4/4/2011
19,4/13/2011,7:30,10:30,4,180,4/11/2011
20,4/13/2011,15:30,17:30,4,120,4/11/2011
21,4/14/2011,7:30,10:30,4,180,4/11/2011
22,4/14/2011,15:30,17:30,4,120,4/11/2011
23,4/15/2011,7:30,10:30,4,180,4/11/2011
24,4/15/2011,15:30,17:30,4,120,4/11/2011
25,4/16/2011,7:30,10:30,4,180,4/11/2011
26,4/16/2011,15:30,17:30,4,120,4/11/2011
27,4/17/2011,7:30,10:30,4,180,4/11/2011
28,4/17/2011,15:30,17:30,4,120,4/11/2011
29,4/18/2011,7:30,10:30,4,180,4/18/2011
30,4/18/2011,15:30,17:30,4,120,4/18/2011
31,4/19/2011,7:30,10:30,4,180,4/18/2011
32,4/19/2011,15:30,17:30,4,120,4/18/2011
33,4/20/2011,7:30,10:30,4,180,4/18/2011
34,4/20/2011,15:30,17:30,4,120,4/18/2011
35,4/21/2011,7:30,10:30,4,180,4/18/2011
36,4/21/2011,15:30,17:30,4,120,4/18/2011
37,4/22/2011,7:30,10:30,4,180,4/18/2011
38,4/22/2011,15:30,17:30,4,120,4/18/2011
39,4/26/2011,7:30,10:30,4,180,4/25/2011
40,4/26/2011,15:30,17:30,4,120,4/25/2011
41,4/27/2011,7:30,10:30,4,180,4/25/2011
42,4/27/2011,15:30,17:30,4,120,4/25/2011
43,4/28/2011,7:30,10:30,4,180,4/25/2011
44,4/28/2011,15:30,17:30,4,120,4/25/2011
45,4/29/2011,7:30,10:30,4,180,4/25/2011
46,4/29/2011,15:30,17:30,4,120,4/25/2011
47,4/30/2011,7:30,10:30,4,180,4/25/2011
48,4/30/2011,15:30,17:30,4,120,4/25/2011
49,5/1/2011,7:30,10:30,4,180,4/25/2011
50,5/1/2011,15:30,17:30,4,120,4/25/2011
51,3/15/2012,7:30,10:30,3,180,3/12/2012
52,3/15/2012,15:30,17:30,3,120,3/12/2012
53,3/16/2012,7:30,10:30,3,180,3/12/2012
54,3/16/2012,3:00,4:30,3,90,3/12/2012
55,3/29/2012,7:30,10:30,3,180,3/26/2012
56,3/29/2012,15:30,17:30,3,120,3/26/2012
57,3/30/2012,7:30,10:30,3,180,3/26/2012
58,3/30/2012,3:00,4:30,3,90,3/26/2012
59,4/5/2012,7:30,10:30,3,180,4/2/2012
60,4/5/2012,15:30,17:30,3,120,4/2/2012
61,4/6/2012,7:30,10:30,3,180,4/2/2012
62,4/6/2012,3:00,4:30,3,90,4/2/2012
63,4/12/2012,7:30,10:30,3,180,4/9/2012
