Date Last Modified,Institution Code,Collection Code,Catalog Number,Record URL,Scientific Name,Basis of record,Citation,Kingdom,Phylum,Class,Order,Family,Genus,species,Year Identified,Month Identified,Day Identified,Year Collected,Month Collected,Day Collected,Time of Day,Locality,Longitude,Latitude,Sex,Notes,Length (m),Marked Individual,Location ID,Submitter Email Address
1/17/2017,WILDME,RhincodonTypus,eb82b86f-9c0b-4a4f-b3b3-2791e45426c1,http://www.whaleshark.org/encounters/encounter.jsp?number=eb82b86f-9c0b-4a4f-b3b3-2791e45426c1,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,5,6,2016,5,6,,Shib Habil,40.20948,20.123,female,,,R-075,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/15/2017,WILDME,RhincodonTypus,495a90af-d28b-46ec-a803-5b6a0a33825f,http://www.whaleshark.org/encounters/encounter.jsp?number=495a90af-d28b-46ec-a803-5b6a0a33825f,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,30,2016,4,30,8:15,Shib Habil,40.19855,20.12061,female,,,R-072,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/16/2017,WILDME,RhincodonTypus,e9a8f7e7-3ea0-4110-aa42-1a581467943f,http://www.whaleshark.org/encounters/encounter.jsp?number=e9a8f7e7-3ea0-4110-aa42-1a581467943f,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,30,2016,4,30,7:59,Shib Habil,40.20911,20.11391,male,,,R-074,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/14/2017,WILDME,RhincodonTypus,89c6ab89-fc24-407d-9f9f-1d847e26683b,http://www.whaleshark.org/encounters/encounter.jsp?number=89c6ab89-fc24-407d-9f9f-1d847e26683b,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,29,2016,4,29,8:54,Shib Habil,40.21785,20.10645,female,,,R-075,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/14/2017,WILDME,RhincodonTypus,daaba418-e0f7-40a2-84d2-19444b7f797e,http://www.whaleshark.org/encounters/encounter.jsp?number=daaba418-e0f7-40a2-84d2-19444b7f797e,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,23,2016,4,23,9:28,Shib Habil,40.21063,20.11598,female,,,R-075,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/14/2017,WILDME,RhincodonTypus,e8c77469-4010-4ead-957d-828b587c894e,http://www.whaleshark.org/encounters/encounter.jsp?number=e8c77469-4010-4ead-957d-828b587c894e,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,15,2016,4,15,9:00,Shib Habil,40.21632,20.11237,female,,,R-075,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/18/2017,WILDME,RhincodonTypus,c01c353e-dc0d-4aa3-8992-2b570a725c0b,http://www.whaleshark.org/encounters/encounter.jsp?number=c01c353e-dc0d-4aa3-8992-2b570a725c0b,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,10,2016,4,10,8:44,Shib Habil,40.20714,20.12823,male,,,R-103,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/14/2017,WILDME,RhincodonTypus,481d612e-5044-40cd-9dad-2b5e21cceebf,http://www.whaleshark.org/encounters/encounter.jsp?number=481d612e-5044-40cd-9dad-2b5e21cceebf,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,10,2016,4,10,7:42,Shib Habil,40.21251,20.12649,female,,,R-075,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/15/2017,WILDME,RhincodonTypus,041ccede-d33b-439c-949b-9b6100c48fa3,http://www.whaleshark.org/encounters/encounter.jsp?number=041ccede-d33b-439c-949b-9b6100c48fa3,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,9,2016,4,9,7:50,Shib Habil,40.21071,20.13076,male,,,R-103,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/17/2017,WILDME,RhincodonTypus,9cafafcd-885d-41da-a655-2bd27dacd677,http://www.whaleshark.org/encounters/encounter.jsp?number=9cafafcd-885d-41da-a655-2bd27dacd677,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,9,2016,4,9,8:50,Shib Habil,40.21071,20.13076,female,,,R-073,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
