Date,Shark ID,Location,Sex,Length,Time,ID method,note,ID Photo
21-Mar-10,UT_001,WS reef,M,3.5,NA,photo,initial sighting,B
21-Mar-10,UT_002,WS reef,UK,4,NA,photo,initial sighting,B
27-Mar-10,WS_001,WS reef,UK,3.75,10:10,photo,initial tag,R
28-Mar-10,WS_002,WS reef,UK,5.75,12:14,photo,initial tag,B
28-Mar-10,WS_003,WS reef,UK,4.5,12:37,tag,initial tag,L
28-Mar-10,WS_004,WS reef,UK,4,13:19,tag,initial tag,T
29-Mar-10,WS_005,WS reef,UK,4,15:28,photo,initial tag,R
29-Mar-10,WS_008,WS reef,F,3,NA,photo,initial tag,B
29-Mar-10,WS_107,WS Reef,F,4,6:19,photo,resight,B
29-Mar-10,WS_006,WS reef,UK,NA,NA,tag,initial tag,T
29-Mar-10,WS_007,WS reef,UK,4.25,16:45,tag,initial tag,L
29-Mar-10,WS_009,WS reef,UK,5,NA,tag,initial tag,L
30-Mar-10,WS_010,WS reef,UK,NA,9:46,tag,initial tag,T
30-Mar-10,WS_011,WS reef,UK,NA,10:25,tag,initial tag,L
4-Apr-10,UT_005,WS reef,UK,4,NA,photo,initial sighting,L
4-Apr-10,WS_012,Canyon,UK,4,14:05,photo,initial tag,B
4-Apr-10,WS_013,WS reef,UK,3,17:05,photo,initial tag,B
8-Apr-10,UT_006,WS reef,UK,2.75,NA,photo,initial sighting,B
9-Apr-10,WS_042,WS reef,M,3,NA,photo,initial sighting,B
12-Apr-10,WS_014,WS reef,M,3.5,16:05,photo,initial tag,B
12-Apr-10,WS_015,WS reef,F,4,16:30,tag,initial tag,B
12-Apr-10,WS_016,WS reef,M,5,17:00,photo,initial tag,B
12-Apr-10,WS_019,WS reef,F,3,18:19,photo,initial tag,B
12-Apr-10,WS_020,WS reef,F,4,18:30,photo,initial tag,R
12-Apr-10,WS_017,WS reef,M,4,17:07,tag,initial tag,T
12-Apr-10,WS_018,WS reef,F,5,17:50,tag,initial tag,L
15-Apr-10,WS_014,WS reef,M,3.5,16:12,photo,resight,B
15-Apr-10,WS_019,WS reef,F,3,12:30,photo,resight,B
15-Apr-10,WS_021,WS reef,M,2.75,10:09,photo,initial tag,R
15-Apr-10,WS_022,WS reef,F,5-6,11:36,photo,initial tag,B
15-Apr-10,WS_023,WS reef,M,6-7,14:49,photo,initial tag,R
15-Apr-10,WS_025,WS reef,F,4,18:05,photo,initial tag,R
15-Apr-10,WS_032,WS reef,UK,NA,16:08,photo,initial tag,B
15-Apr-10,WS_046,WS reef,M,3,NA,photo,initial sighting,B
16-Apr-10,UT_025,WS reef,M,6-7,13:34,photo,initial sighting,B
16-Apr-10,WS_026,WS reef,F,6,8:40,photo,initial tag,B
16-Apr-10,WS_027,WS reef,UK,3.25,8:45,photo,initial tag,B
16-Apr-10,WS_028,WS reef,M,4,9:11,photo,initial tag,B
16-Apr-10,WS_029,WS reef,F,7,9:24,photo,initial tag,B
16-Apr-10,WS_033,WS reef,F,4,14:11,photo,initial tag,B
22-Apr-10,WS_034,WS reef,M,3,NA,photo,initial tag,B
22-Apr-10,WS_035,WS reef,M,3,8:25,photo,initial tag,R
22-Apr-10,WS_036,WS reef,M,3.5,8:32,photo,initial tag,B
22-Apr-10,WS_037,WS reef,M,7,8:49,photo,initial tag,R
22-Apr-10,WS_038,WS reef,F,3,17:16,photo,initial tag,B
23-Apr-10,WS_015,WS reef,F,4,NA,photo,resight,B
23-Apr-10,WS_035,WS reef,M,3,NA,photo,resight,B
24-Apr-10,UT_011,WS reef,F,3.5,9:00,photo,initial sighting,L
25-Apr-10,UT_011,WS reef,F,4.5,8:45,photo,initial sighting,L
25-Apr-10,WS_024,WS reef,F,3,NA,photo,initial sighting,B
26-Apr-10,UT_014,WS reef,F,4.5,8:45,photo,initial sighting,B
27-Apr-10,UT_018,WS reef,M,4,11:35,photo,initial sighting,L
27-Apr-10,UT_015,WS reef,F,4.5,9:20,photo,initial sighting,B
27-Apr-10,WS_033,WS reef,F,4,NA,Photo,resight,B
27-Apr-10,WS_039,WS reef,F,4.5,10:00,Photo,initial tag,R
27-Apr-10,WS_046,WS reef,M,3,NA,photo,resight,B
28-Apr-10,WS_015,WS reef,F,4,NA,Photo,resight,B
28-Apr-10,WS_025,WS reef,F,4,NA,Photo,resight,R
28-Apr-10,WS_038,WS reef,F,3,NA,Photo,resight,B
28-Apr-10,WS_040,WS reef,M,4,8:45,Photo,initial tag,B
30-Apr-10,WS_008,WS reef,F,3,8:46,Photo,resight,B
30-Apr-10,WS_041,WS reef,F,4,9:00,Photo,initial tag,R
1-May-10,WS_045,WS reef,M,3.5,NA,Photo,initial sighting,R
3-May-10,UT_021,WS reef,F,3.75,9:40,Photo,initial sighting,B
4-May-10,WS_008,WS reef,F,3,NA,Photo,resight,B
4-May-10,WS_024,WS reef,F,3,7:45,Photo,initial tag,B
4-May-10,WS_030,WS reef,M,3,8:30,Photo,initial tag,B
4-May-10,WS_031,WS reef,M,3.5,9:15,Photo,initial tag,B
4-May-10,WS_042,WS reef,M,3,8:00,Photo,initial tag,B
5-May-10,WS_024,WS reef,F,3,NA,Photo,resight,B
7-May-10,WS_505,WS reef,F,3.5,7:45,Photo,initial sighting,R
7-May-10,UT_024,WS reef,F,3.5,18:00,Photo,initial sighting,B
7-May-10,WS_008,WS reef,F,3,NA,Photo,resight,B
7-May-10,WS_043,WS reef,F,3.5,18:15,Photo,initial tag,R
7-May-10,WS_103,WS Reef,M,4,7:16,Photo,resight,B
11-May-10,WS_024,WS reef,F,3,NA,Photo,resight,B
11-May-10,WS_042,WS reef,M,3,NA,Photo,resight,B
11-May-10,WS_044,WS reef,F,4.25,9:25,Photo,initial tag,B
11-May-10,WS_045,WS reef,M,3.5,16:34,Photo,initial tag,R
12-May-10,WS_024,WS reef,F,3,NA,Photo,resight,B
12-May-10,WS_031,WS reef,M,3.5,11:16,Photo,resight,B
12-May-10,WS_042,WS reef,M,3,NA,Photo,resight,B
12-May-10,WS_045,WS reef,M,3.5,NA,Photo,resight,R
12-May-10,WS_046,WS reef,M,3,11:16,Photo,initial tag,B
14-May-10,WS_047,Abu Lat,UK,4.5,15:20,Photo,initial tag,R
30-Mar-11,WS_102,WS Reef,F,5,17:25,Photo,initial tag,B
30-Mar-11,WS_103,WS Reef,M,4,7:57,Photo,resight,B
31-Mar-11,WS_020,WS Reef,UK,NA,8:52,photo,resight,R
31-Mar-11,WS_103,WS Reef,M,4,7:57,tag,initial tag,B
31-Mar-11,WS_104,On route to Canyon,F,3,11:40,tag,initial tag,B
1-Apr-11,UT_101,WS Reef,F,3,16:16,photo,initial sighting,B
1-Apr-11,WS_103,WS Reef,M,4,16:58,photo,resight,B
2-Apr-11,WS_106,WS Reef,UK,NA,17:24,tag,initial tag,L
2-Apr-11,WS_105,WS Reef,M,NA,16:53,photo,initial tag,B
2-Apr-11,WS_107,WS Reef,F,4,17:24,photo,initial tag,B
4-Apr-11,WS_031,WS Reef,M,3.5,17:59,photo,resight,B
4-Apr-11,WS_107,WS Reef,F,4,17:01,photo,resight,B
4-Apr-11,WS_108,WS Reef,F,4.5,17:37,photo,initial tag,R
5-Apr-11,WS_020,WS Reef,UK,NA,16:03,photo,resight,R
5-Apr-11,WS_031,WS Reef,M,3.5,16:03,photo,resight,B
5-Apr-11,WS_102 ,WS Reef,F,5,16:34,tag,resight,B
5-Apr-11,WS_108,WS Reef,F,4.5,17:26,photo,resight,R
6-Apr-11,WS_031,WS Reef,M,3.5,8:19,tag,resight,B
6-Apr-11,WS_103,WS Reef,M,4,16:48,tag,resight,B
6-Apr-11,WS_108,WS Reef,F,4.5,16:31,tag,resight,R
7-Apr-11,WS_020,WS Reef,UK,NA,17:04,tag,resight,R
7-Apr-11,WS_109,WS Reef,F,4,16:54,photo,initial tag,B
7-Apr-11,WS_110,WS Reef,F,4.5,17:34,photo,initial tag,B
13-Apr-11,UT_107,WS Reef,UK,NA,16:45,photo,initial sighting,R
13-Apr-11,UT_108,WS Reef,UK,NA,16:45,photo,initial sighting,R
13-Apr-11,WS_111,WS Reef,M,4,17:29,photo,initial tag,B
14-Apr-11,WS_115,WS Reef,F,4,16:43,tag,initial tag,T
14-Apr-11,WS_116,WS Reef,F,4,16:57,tag,initial tag,L
14-Apr-11,UT_109,WS Reef,UK,NA,8:49,photo,initial sighting,B
14-Apr-11,WS_107,WS Reef,F,4,8:32,photo,resight,B
14-Apr-11,WS_112,WS Reef,M,5,8:45,photo,initial tag,B
14-Apr-11,WS_113,WS Reef,M,NA,8:50,photo,initial tag,R
14-Apr-11,WS_114,WS Reef,F,3.5,16:43,photo,initial tag,R
15-Apr-11,WS_116,WS Reef,F,4,8:23,photo,resight,L
15-Apr-11,WS_027,WS reef,UK,3.25,8:23,photo,resight,B
15-Apr-11,WS_103,WS Reef,M,4,16:38,photo,resight,B
15-Apr-11,WS_107,WS Reef,F,4,8:28,photo,resight,B
15-Apr-11,WS_111,WS Reef,M,4,16:46,photo,resight,B
15-Apr-11,WS_112,WS Reef,M,5,16:46,photo,resight,B
15-Apr-11,WS_117,WS Reef,M,3.5,7:55,photo,initial tag,B
16-Apr-11,WS_027,WS reef,UK,3.25,18:19,photo,resight,B
16-Apr-11,WS_032,WS Reef,UK,NA,9:47,photo,resight,B
16-Apr-11,WS_033,WS Reef,F,4,8:12,photo,resight,B
16-Apr-11,WS_103,WS Reef,M,4,18:19,photo,resight,B
16-Apr-11,WS_107,WS Reef,F,4,9:47,photo,resight,B
17-Apr-11,WS_118,WS Reef,UK,3,18:03,tag,initial tag,L
17-Apr-11,WS_014,WS Reef,M,3.5,7:31,photo,resight,B
17-Apr-11,WS_103,WS Reef,M,4,8:09,photo,resight,B
17-Apr-11,WS_117,WS Reef,M,3.5,8:59,photo,resight,B
18-Apr-11,WS_033,WS Reef,F,4,18:15,photo,resight,B
18-Apr-11,WS_103,WS Reef,M,4,7:30,photo,resight,B
18-Apr-11,WS_107,North-east of WS Reef,F,4,7:30,photo,resight,B
18-Apr-11,WS_119,WS Reef,M,4,9:22,tag,initial tag,T
19-Apr-11,WS_107,WS Reef,F,4,17:33,photo,resight,B
19-Apr-11,WS_112,WS Reef,M,5,17:33,photo,resight,B
19-Apr-11,WS_120,WS Reef,F,3.5,8:31,photo,initial tag,B
19-Apr-11,WS_121,WS Reef,F,3.5,10:05,tag,initial tag,T
19-Apr-11,WS_122,WS Reef,UK,3,16:39,tag,initial tag,T
19-Apr-11,WS_123,WS Reef,M,3.5,17:47,tag,initial tag,T
20-Apr-11,UT_103,WS Reef,UK,NA,16:45,photo,initial sighting,B
20-Apr-11,UT_104,WS Reef,M,3.5,17:50,photo,initial sighting,B
20-Apr-11,WS_014,WS Reef,M,3.5,9:28,photo,resight,B
20-Apr-11,WS_025,WS Reef,F,4,8:52,Photo,resight,R
20-Apr-11,WS_103,WS Reef,M,4,18:25,photo,resight,B
20-Apr-11,WS_104,WS Reef,F,3,15:15,photo,resight,B
20-Apr-11,WS_107,WS Reef,F,4,9:27,photo,resight,B
20-Apr-11,WS_109,WS Reef,F,4,9:12,photo,resight,B
20-Apr-11,WS_120,WS Reef,F,3.5,8:16,photo,resight,B
20-Apr-11,WS_126,WS Reef,M,3,18:33,photo,initial sighting,B
20-Apr-11,WS_124,WS Reef,M,4.5,8:40,photo,initial tag,B
21-Apr-11,WS_110,WS Reef,F,4.5,9:36,photo,resight,B
22-Apr-11,WS_025,WS Reef,F,4,9:05,photo,resight,B
22-Apr-11,WS_031,WS Reef,M,3.5,10:49,photo,resight,B
22-Apr-11,WS_107,WS Reef,F,4,8:37,photo,resight,B
22-Apr-11,WS_126,WS Reef,M,3,8:09,photo,initial tag,B
22-Apr-11,WS_127,WS Reef,F,5.5,8:50,photo,initial tag,B
22-Apr-11,WS_121,WS Reef,F,3.5,9:05,photo,resight,T
22-Apr-11,WS_123,WS Reef,M,3.5,9:53,photo,resight,T
22-Apr-11,WS_128,WS Reef,UK,3.5,8:50,tag,initial tag,T
26-Apr-11,WS_129,WS Reef,M,4.5,10:00,tag,initial tag,T
26-Apr-11,WS_130,WS Reef,F,3.5,17:30,tag,initial tag,T
27-Apr-11,WS_131,WS Reef,F,3,8:20,tag,initial tag,T
27-Apr-11,WS_025,WS Reef,F,NA,NA,photo,resight,B
27-Apr-11,UT_111,WS Reef,UK,NA,NA,photo,intial sighting,R
16-Mar-12,UT_201,WS Reef,F,5,8:15,photo,initial sighting,B
16-Mar-12,WS_015,WS Reef,F,3,8:00,photo,resight,B
16-Mar-12,WS_202,WS Reef,M,5,8:00,photo,initial tag,B
16-Mar-12,WS_203,WS Reef,M,3,8:15,photo,initial tag,B
23-Mar-12,WS_015,WS Reef,F,3,10:00,photo,resight,B
29-Mar-12,WS_204,WS Reef,M,3,8:25,photo,initial tag,B
6-Apr-12,WS_020,WS Reef,UK,4,8:24,photo,initial tag,B
12-Apr-12,WS_033,WS Reef,F,4,7:39,photo,resight,B
18-Apr-12,WS_103,WS Reef,M,4,9:00,photo,resight,B
19-Apr-12,WS_120,WS Reef,F,4,8:57,photo,resight,B
19-Apr-12,WS_205,WS Reef,UK,3,9:35,photo,initial tag,B
19-Apr-12,WS_206,WS Reef,M,3.5,9:57,photo,initial tag,B
19-Apr-12,WS_207,Shib Sulyme,F,3,16:38,photo,initial tag,B
