Date Last Modified,Institution Code,Collection Code,Catalog Number,Record URL,Scientific Name,Basis of record,Citation,Kingdom,Phylum,Class,Order,Family,Genus,species,Year Identified,Month Identified,Day Identified,Year Collected,Month Collected,Day Collected,Time of Day,Locality,Longitude,Latitude,Sex,Notes,Length (m),Marked Individual,Location ID,Submitter Email Address
5/9/2017,WILDME,RhincodonTypus,1c725466-9849-452d-ba6a-b0c482699811,http://www.whaleshark.org/encounters/encounter.jsp?number=1c725466-9849-452d-ba6a-b0c482699811,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2017,5,7,2017,5,7,16:30,Shib Habil,,,,,,R-205,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
4/12/2017,WILDME,RhincodonTypus,25aa3fc3-0afb-4775-977a-09cd5a205fd7,http://www.whaleshark.org/encounters/encounter.jsp?number=25aa3fc3-0afb-4775-977a-09cd5a205fd7,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2017,4,7,2017,4,7,8:00,Shib Habil,,,male,,,R-108,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/18/2017,WILDME,RhincodonTypus,c0ba016b-62cf-440b-8356-6d211881daa4,http://www.whaleshark.org/encounters/encounter.jsp?number=c0ba016b-62cf-440b-8356-6d211881daa4,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,5,1,2016,5,1,9:30,Shib Habil,40.22962,20.09232,male,,,R-108,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/19/2017,WILDME,RhincodonTypus,5db5cf11-7081-4478-a0c7-7e2a59f4686f,http://www.whaleshark.org/encounters/encounter.jsp?number=5db5cf11-7081-4478-a0c7-7e2a59f4686f,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,24,2016,4,24,9:50,Shib Habil,40.22782,20.09182,female,,,R-031,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/21/2017,WILDME,RhincodonTypus,1dfa4d49-c8b6-47de-b4fc-e8d7edb5c9e9,http://www.whaleshark.org/encounters/encounter.jsp?number=1dfa4d49-c8b6-47de-b4fc-e8d7edb5c9e9,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,24,2016,4,24,9:11,Shib Habil,40.21505,20.11413,female,,,R-081,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/15/2017,WILDME,RhincodonTypus,a31434bc-5a97-4890-807d-7ef7a7332a76,http://www.whaleshark.org/encounters/encounter.jsp?number=a31434bc-5a97-4890-807d-7ef7a7332a76,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,24,2016,4,24,9:55,Shib Habil,40.22768,20.09261,female,,,R-072,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
4/24/2017,WILDME,RhincodonTypus,97f3ece1-506c-42b7-8c8d-b6ed67f49ab1,http://www.whaleshark.org/encounters/encounter.jsp?number=97f3ece1-506c-42b7-8c8d-b6ed67f49ab1,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,24,2016,4,24,8:10,Shib Habil,40.21505,20.11413,female,,,R-075,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
10/26/2016,WILDME,RhincodonTypus,33a8ba30-e443-45ec-8095-af7a369deb64,http://www.whaleshark.org/encounters/encounter.jsp?number=33a8ba30-e443-45ec-8095-af7a369deb64,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,10,2016,4,10,8:58,Shib Habil,40.20611,20.12939,female,,,R-061,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/21/2017,WILDME,RhincodonTypus,1766d8cb-e395-44d1-958e-22fb1b869fd8,http://www.whaleshark.org/encounters/encounter.jsp?number=1766d8cb-e395-44d1-958e-22fb1b869fd8,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,10,2016,4,10,8:44,Shib Habil,40.20714,20.12823,male,,,R-126,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
1/22/2017,WILDME,RhincodonTypus,851915ca-b5c4-482f-ab1f-658915ec2890,http://www.whaleshark.org/encounters/encounter.jsp?number=851915ca-b5c4-482f-ab1f-658915ec2890,,P,"Holmberg J, Arzoumanian Z, and Pierce S. Wildbook for Whale Sharks. version 2014. www.whaleshark.org",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,,,2016,4,9,2016,4,9,10:35,Shib Habil,40.20404,20.12977,,,,R-131,RedSea-ShibHabil,royale.hardenstine@kaust.edu.sa
